name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-05-04,54.7,48.3,51.1,54.7,44.9,49.8,43.8,76.3,0.052,100,25,rain,0,0,20.8,9.3,26.4,1010.3,96.8,9.8,79.7,6.9,4,10,2023-05-04T05:50:54,2023-05-04T19:54:49,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-05,61.9,47.7,54.6,61.9,46.2,54.4,43.5,67.9,0.002,100,4.17,rain,0,0,14.3,13.5,79.6,1021.5,59,9.7,217.8,18.8,7,10,2023-05-05T05:49:42,2023-05-05T19:55:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-06,71.5,49.9,60.8,71.5,48.4,60.8,43.2,55.4,0,0,0,,0,0,17.2,8.7,316.1,1022.6,30.3,9.9,319.8,27.6,10,10,2023-05-06T05:48:31,2023-05-06T19:56:52,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-07,75.3,56,65.5,75.3,56,65.5,43.3,45.9,0.01,100,8.33,rain,0,0,25.3,13.1,257.4,1015.2,43.4,9.9,301.3,25.9,9,10,2023-05-07T05:47:21,2023-05-07T19:57:53,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-08,76.5,58.3,67.3,76.5,58.3,67.3,46.9,51.5,0,0,0,,0,0,24.2,15.5,320.1,1008.3,60.8,9.9,310.8,26.8,10,10,2023-05-08T05:46:13,2023-05-08T19:58:54,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-09,67.2,55.3,60.5,67.2,55.3,60.5,33.8,37.4,0,0,0,,0,0,20.8,9.6,69.1,1014.2,51.3,9.9,220.5,19.1,8,10,2023-05-09T05:45:06,2023-05-09T19:59:55,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-10,70.7,50.2,60.2,70.7,50.2,60.2,40.9,52,0,0,0,,0,0,16.1,11,230.7,1020,30.9,9.9,306.4,26.5,9,10,2023-05-10T05:44:01,2023-05-10T20:00:55,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-11,79,57.8,69.1,79,57.8,69.1,40.5,36.3,0,0,0,,0,0,26.4,11.7,249.6,1018.7,37.8,9.8,296.1,25.5,9,10,2023-05-11T05:42:57,2023-05-11T20:01:55,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-12,84.7,64.4,75.2,82.3,64.4,74.6,46.6,37.3,0,0,0,,0,0,20.8,12,255.2,1017.1,51.4,9.7,297.7,25.7,10,10,2023-05-12T05:41:54,2023-05-12T20:02:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-13,80.6,70.6,75.5,80.3,70.6,75.4,48.2,39.5,0,0,0,,0,0,23,13.4,291.9,1015.6,57.2,9.9,169.3,14.5,6,10,2023-05-13T05:40:53,2023-05-13T20:03:54,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-14,71.4,59.7,65.7,71.4,59.7,65.7,35.7,33.1,0,0,0,,0,0,20.4,10.7,17.7,1021.2,44.1,9.9,320.7,27.7,10,10,2023-05-14T05:39:54,2023-05-14T20:04:53,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
